theta,wvl,flux,r,n,log_mstar,log_mdust_over_mstar
18.67,0.2783795681,1.7600969464505e-11,8.4478577267765,0.20000000000937374,11.32,-2.74
18.67,0.3058465557,1.7955317672499e-11,8.326417145575165,0.20000000001408896,11.32,-2.74
18.67,0.3360236395,1.7341422817796e-11,8.11459010221721,0.20000000005014468,11.32,-2.74
18.67,0.3691782175,1.9233624030317002e-11,7.992249179301167,0.2000000004857954,11.32,-2.74
18.67,0.4056040715,2.8107032254961e-11,7.860157867675863,0.20000002177578335,11.32,-2.74
18.67,0.4456239698,3.0347172472509e-11,7.733025512794012,0.2000000659558601,11.32,-2.74
18.67,0.4895925272,3.0179735517057006e-11,7.567599053800969,0.2000000098208652,11.32,-2.74
18.67,0.5378993478,2.9716627919691995e-11,7.46486220075298,0.20000009305461822,11.32,-2.74
18.67,0.5909724767,3.0203695328853e-11,7.347609163880218,0.2000000165992361,11.32,-2.74
18.67,0.6492821931,2.9222263492385e-11,7.1847407149043425,0.2106772967640474,11.32,-2.74
18.67,0.7133451775,2.9623601961667e-11,7.028930458159299,0.21930113849009647,11.32,-2.74
18.67,0.7837290898,2.9890169072094e-11,6.900289326983337,0.23457803675865269,11.32,-2.74
18.67,0.8610575996,2.9976723049956996e-11,6.720791022736347,0.2463961179968628,11.32,-2.74
18.67,0.9460159122,3.122597626647e-11,6.555750327547609,0.25984944511798963,11.32,-2.74
18.67,1.03935684,3.1684026462050287e-11,6.400528817793573,0.2735018552526307,11.32,-2.74
18.67,1.141907475,3.0471975851151e-11,6.2162320079864735,0.2866583773255167,11.32,-2.74
18.67,1.254576514,3.06555548027987e-11,5.98731495555703,0.3073816889454635,11.32,-2.74
18.67,1.378362314,3.1411450792095e-11,5.802962296995699,0.3095101955699425,11.32,-2.74
18.67,1.514361737,3.2593618896078e-11,5.626662166283763,0.32124376836724805,11.32,-2.74
18.67,1.663779868,3.5114652753721e-11,5.402214117070969,0.33181062398938976,11.32,-2.74
18.67,1.827940698,3.5064553636613e-11,5.222428943511214,0.3372912069321935,11.32,-2.74
18.67,2.00829885,3.492221215134e-11,5.0376926629066725,0.3554149754555215,11.32,-2.74
18.67,2.206452472,3.4472446060484e-11,4.826531813673633,0.3552657897414777,11.32,-2.74
18.67,2.424157395,3.30064415532e-11,4.628960821077533,0.3628047908354611,11.32,-2.74
18.67,2.663342697,3.4867347015575e-11,4.496407263920467,0.3801047591528296,11.32,-2.74
18.67,2.92612779,3.7569660408205e-11,4.363724986282665,0.3954049224159817,11.32,-2.74
18.67,3.0,3.9833251819145e-11,4.081348101063507,0.4481777447733696,11.32,-2.74
18.67,3.222555553,4.4715702113058e-11,3.9418021370705327,0.4626708876810652,11.32,-2.74
18.67,3.46162143,4.9237773887762e-11,3.835220787524638,0.48615704248538133,11.32,-2.74
18.67,3.718422454,4.5001787623401e-11,3.6757352797305582,0.5254623894504238,11.32,-2.74
18.67,3.994274309,4.5292255733558e-11,3.567834188878936,0.5599404455718677,11.32,-2.74
18.67,4.290590285,4.5757531299203e-11,3.4549155303095858,0.5815020852884045,11.32,-2.74
18.67,4.608888516,4.5252922233019e-11,3.3635338248405726,0.6029382616874304,11.32,-2.74
18.67,4.95079976,4.5154340278389004e-11,3.267546345206822,0.6215469429446856,11.32,-2.74
18.67,5.318075752,4.4539638387605e-11,3.1811450108607713,0.6532517455925919,11.32,-2.74
18.67,5.712598182,4.8447203021918e-11,3.1633965091108847,0.670471995856029,11.32,-2.74
