,x0,x1,y0,y1,mean_y0,mean_y1,std_y0,std_y1
80,-1.0270371,-0.93532765,-0.5240384,-0.27443597,-0.16222052,-0.22980592,0.14296164,0.13913856
81,-1.0143639,-0.92308265,-0.13344418,-0.124212675,-0.15262373,-0.24638696,0.1394419,0.13876021
82,-1.0094321,-0.9218096,-0.4436381,-0.6491307,-0.150126,-0.25132892,0.13848953,0.13846613
83,-0.99568075,-0.9061232,-0.4317482,-0.43919638,-0.13991247,-0.26929826,0.13476366,0.13859123
84,-0.99316394,-0.9015592,0.018114459,-0.34980783,-0.13767044,-0.2731106,0.13394602,0.13876726
85,-0.98792845,-0.9002788,-0.11748953,-0.76271653,-0.13533118,-0.27799678,0.13306308,0.13859653
86,-0.9813323,-0.8523674,-0.17341349,-0.63394374,-0.12153104,-0.29842514,0.1281992,0.14190738
87,-0.9660439,-0.84506226,-0.4282355,-0.69636816,-0.11471779,-0.31342024,0.12562685,0.14207833
88,-0.9487624,-0.8119419,-0.36962536,-0.6235061,-0.10313183,-0.33515513,0.121468775,0.14430414
89,-0.93791306,-0.80473346,-0.17414545,-0.13232036,-0.09877664,-0.34494793,0.119774476,0.14481872
90,-0.93549097,-0.7969024,-0.02039964,-0.4072701,-0.09687865,-0.3483396,0.1191012,0.14535598
91,-0.9246929,-0.7966677,-0.25879174,-0.7670007,-0.09392612,-0.3560014,0.117932625,0.14526945
92,-0.9121224,-0.7926847,-0.20766464,-0.24506828,-0.090176724,-0.36499855,0.11648363,0.1454376
93,-0.9095894,-0.78291386,0.018023685,-0.8365385,-0.088087454,-0.3687929,0.115761794,0.14607619
94,-0.8878095,-0.7759557,-0.17755078,-0.39176553,-0.08242346,-0.38309968,0.11368598,0.14643005
95,-0.87668866,-0.7411627,0.02183779,-0.8492053,-0.07565749,-0.39655742,0.11140922,0.14862566
96,-0.8699304,-0.7392223,0.06797868,-0.82938623,-0.07417108,-0.40052322,0.11086635,0.14881425
